Name,S1223,
Chord(mm),220,
Radius(mm),0,
Thickness(%),100,
Origin(%),0,
Pitch(deg),0,
,,
Airfoil surface,,
X(mm),Y(mm),
220,0,0
219.6436,0.2772,0
218.7174,1.0868,0
217.415,2.2814,0
215.765,3.6212,0
213.6442,4.95,0
210.9448,6.2766,0
207.6558,7.6472,0
203.8058,9.0552,0
199.4102,10.4896,0
194.4932,11.9394,0
189.0834,13.3958,0
183.2094,14.8478,0
176.9064,16.2844,0
170.2118,17.6968,0
163.1652,19.0762,0
155.8106,20.4094,0
148.192,21.6898,0
140.3556,22.9064,0
132.3476,24.057,0
124.223,25.135,0
116.0368,26.1382,0
107.855,27.0666,0
99.748,27.9026,0
91.7862,28.6242,0
84.0246,29.1962,0
76.5094,29.5834,0
69.2736,29.7572,0
62.3634,29.711,0
55.814,29.3612,0
49.5902,28.6814,0
43.6612,27.7068,0
38.0292,26.4572,0
32.6986,24.981,0
27.7002,23.3156,0
23.0604,21.494,0
18.799,19.5338,0
14.9358,17.468,0
11.4906,15.323,0
8.481,13.1296,0
5.9268,10.9252,0
3.861,8.7142,0
2.2616,6.4988,0
1.089,4.3318,0
0.341,2.2726,0
0.011,0.3916,0
0.0968,-1.2342,0
0.5808,-2.464,0
1.7358,-3.1394,0
3.7796,-3.41,0
6.6132,-3.4848,0
10.1794,-3.3704,0
14.4342,-3.0888,0
19.3314,-2.6444,0
24.8204,-2.035,0
30.844,-1.2386,0
37.4132,-0.165,0
44.6116,1.177,0
52.448,2.6686,0
60.8806,4.2416,0
69.85,5.8344,0
79.2968,7.3876,0
89.1418,8.8462,0
99.3058,10.1596,0
109.692,11.2838,0
120.2058,12.1748,0
130.7416,12.804,0
141.1872,13.1472,0
151.4304,13.1868,0
161.3568,12.9184,0
170.852,12.3464,0
179.8038,11.4818,0
188.1,10.3532,0
195.6416,8.9936,0
202.3252,7.4514,0
208.0606,5.7728,0
212.7246,4.0084,0
216.161,2.332,0
218.3896,1.0296,0
219.615,0.253,0
220,0,0
,,
Camber line,,
X(mm),Y(mm),
0.341,2.2726,
1.089,0.785312,
2.2616,1.644892,
3.861,2.651026,
5.9268,3.72926,
8.481,4.852359,
11.4906,6.01969,
14.9358,7.212359,
18.799,8.420543,
23.0604,9.631801,
27.7002,10.830674,
32.6986,12.022748,
38.0292,13.203521,
43.6612,14.353308,
49.5902,15.40302,
55.814,16.328843,
62.3634,17.107959,
69.2736,17.744621,
76.5094,18.256354,
84.0246,18.642127,
91.7862,18.906056,
99.748,19.055032,
107.855,19.075782,
116.0368,18.979847,
124.223,18.774854,
132.3476,18.456883,
140.3556,18.013139,
148.192,17.43204,
155.8106,16.738882,
163.1652,15.94283,
170.2118,15.040883,
176.9064,14.023021,
183.2094,12.933154,
189.0834,11.785856,
194.4932,10.570017,
199.4102,9.306809,
203.8058,8.036634,
207.6558,6.769237,
210.9448,5.479151,
213.6442,4.254893,
215.765,3.073192,
217.415,1.940279,
218.7174,0.954328,
219.6436,0.255703,
220,0,
,,
Chord line,,
X(mm),Y(mm),
0,0,
220,0,
